customer_id,window_end_day,future_delinquency_label
CUST000000,19,0
CUST000000,20,0
CUST000000,21,0
CUST000000,22,0
CUST000000,23,0
CUST000000,24,0
CUST000000,25,0
CUST000000,26,0
CUST000000,27,0
CUST000000,28,0
CUST000000,29,0
CUST000000,30,1
CUST000000,31,1
CUST000000,32,1
CUST000000,33,1
CUST000000,34,1
CUST000000,35,1
CUST000000,36,1
CUST000000,37,1
CUST000000,38,1
CUST000000,39,1
CUST000000,40,1
CUST000000,41,1
CUST000000,42,1
CUST000000,43,1
CUST000000,44,1
CUST000000,45,0
CUST000000,46,0
CUST000000,47,0
CUST000001,19,0
CUST000001,20,0
CUST000001,21,0
CUST000001,22,0
CUST000001,23,0
CUST000001,24,0
CUST000001,25,0
CUST000001,26,0
CUST000001,27,0
CUST000001,28,0
CUST000001,29,0
CUST000001,30,0
CUST000001,31,0
CUST000001,32,0
CUST000001,33,0
CUST000001,34,0
CUST000001,35,0
CUST000001,36,1
CUST000001,37,1
CUST000001,38,1
CUST000001,39,1
CUST000001,40,1
CUST000001,41,1
CUST000001,42,1
CUST000001,43,1
CUST000001,44,1
CUST000001,45,0
CUST000001,46,0
CUST000001,47,0
CUST000002,19,0
CUST000002,20,0
CUST000002,21,0
CUST000002,22,0
CUST000002,23,0
CUST000002,24,0
CUST000002,25,0
CUST000002,26,0
CUST000002,27,0
CUST000002,28,0
CUST000002,29,0
CUST000002,30,0
CUST000002,31,1
CUST000002,32,1
CUST000002,33,1
CUST000002,34,1
CUST000002,35,1
CUST000002,36,1
CUST000002,37,1
CUST000002,38,1
CUST000002,39,1
CUST000002,40,1
CUST000002,41,1
CUST000002,42,1
CUST000002,43,1
CUST000002,44,1
CUST000002,45,1
CUST000002,46,0
CUST000002,47,0
CUST000003,19,0
CUST000003,20,0
CUST000003,21,0
CUST000003,22,0
CUST000003,23,0
CUST000003,24,0
CUST000003,25,0
CUST000003,26,0
CUST000003,27,0
CUST000003,28,0
CUST000003,29,0
CUST000003,30,1
CUST000003,31,1
CUST000003,32,1
CUST000003,33,1
CUST000003,34,1
CUST000003,35,1
CUST000003,36,1
CUST000003,37,1
CUST000003,38,1
CUST000003,39,1
CUST000003,40,0
CUST000003,41,0
CUST000003,42,0
CUST000003,43,0
CUST000003,44,0
CUST000003,45,0
CUST000003,46,0
CUST000003,47,0
CUST000004,19,0
CUST000004,20,0
CUST000004,21,0
CUST000004,22,0
CUST000004,23,0
CUST000004,24,0
CUST000004,25,0
CUST000004,26,0
CUST000004,27,0
CUST000004,28,0
CUST000004,29,0
CUST000004,30,0
CUST000004,31,0
CUST000004,32,0
CUST000004,33,0
CUST000004,34,0
CUST000004,35,1
CUST000004,36,0
CUST000004,37,1
CUST000004,38,1
CUST000004,39,1
CUST000004,40,1
CUST000004,41,1
CUST000004,42,1
CUST000004,43,1
CUST000004,44,1
CUST000004,45,0
CUST000004,46,0
CUST000004,47,0
CUST000005,19,0
CUST000005,20,0
CUST000005,21,0
CUST000005,22,0
CUST000005,23,0
CUST000005,24,0
CUST000005,25,0
CUST000005,26,0
CUST000005,27,0
CUST000005,28,0
CUST000005,29,0
CUST000005,30,0
CUST000005,31,0
CUST000005,32,0
CUST000005,33,0
CUST000005,34,0
CUST000005,35,0
CUST000005,36,0
CUST000005,37,0
CUST000005,38,1
CUST000005,39,1
CUST000005,40,0
CUST000005,41,0
CUST000005,42,0
CUST000005,43,1
CUST000005,44,1
CUST000005,45,1
CUST000005,46,1
CUST000005,47,1
CUST000006,19,0
CUST000006,20,0
CUST000006,21,0
CUST000006,22,0
CUST000006,23,0
CUST000006,24,0
CUST000006,25,0
CUST000006,26,0
CUST000006,27,0
CUST000006,28,0
CUST000006,29,0
CUST000006,30,0
CUST000006,31,0
CUST000006,32,0
CUST000006,33,0
CUST000006,34,0
CUST000006,35,0
CUST000006,36,0
CUST000006,37,0
CUST000006,38,0
CUST000006,39,0
CUST000006,40,0
CUST000006,41,0
CUST000006,42,0
CUST000006,43,0
CUST000006,44,0
CUST000006,45,0
CUST000006,46,0
CUST000006,47,0
CUST000007,19,0
CUST000007,20,0
CUST000007,21,0
CUST000007,22,0
CUST000007,23,0
CUST000007,24,0
CUST000007,25,0
CUST000007,26,0
CUST000007,27,0
CUST000007,28,0
CUST000007,29,0
CUST000007,30,0
CUST000007,31,1
CUST000007,32,1
CUST000007,33,1
CUST000007,34,1
CUST000007,35,1
CUST000007,36,1
CUST000007,37,1
CUST000007,38,1
CUST000007,39,1
CUST000007,40,1
CUST000007,41,1
CUST000007,42,1
CUST000007,43,1
CUST000007,44,1
CUST000007,45,0
CUST000007,46,0
CUST000007,47,0
CUST000008,19,0
CUST000008,20,0
CUST000008,21,0
CUST000008,22,0
CUST000008,23,0
CUST000008,24,0
CUST000008,25,0
CUST000008,26,0
CUST000008,27,0
CUST000008,28,0
CUST000008,29,1
CUST000008,30,1
CUST000008,31,1
CUST000008,32,1
CUST000008,33,1
CUST000008,34,1
CUST000008,35,1
CUST000008,36,1
CUST000008,37,1
CUST000008,38,1
CUST000008,39,1
CUST000008,40,1
CUST000008,41,1
CUST000008,42,1
CUST000008,43,1
CUST000008,44,1
CUST000008,45,1
CUST000008,46,1
CUST000008,47,0
CUST000009,19,0
CUST000009,20,0
CUST000009,21,0
CUST000009,22,0
CUST000009,23,0
CUST000009,24,0
CUST000009,25,0
CUST000009,26,0
CUST000009,27,0
CUST000009,28,0
CUST000009,29,0
CUST000009,30,0
CUST000009,31,1
CUST000009,32,1
CUST000009,33,1
CUST000009,34,1
CUST000009,35,1
CUST000009,36,1
